OpenAlias network,OpenAlias asset,Asset Common Name,CAIP-2 Prefix,CAIP-19 Suffix,CAIP-19,Decimals
grc,grc,Gridcoin,,slip44:84,/slip44:84,
grin,grin,Grin,,slip44:592,/slip44:592,
icp,icp,Internet Computer (DFINITY),,slip44:223,/slip44:223,
iota,iota,IOTA,,slip44:4218,/slip44:4218,
iron,iron,Iron Fish,,slip44:1338,/slip44:1338,
kmd,kmd,Komodo,,slip44:141,/slip44:141,
eth,link,ChainLink,eip155:1,erc20:0x514910771af9ca656af840dff83e8264ecf986ca,eip155:1/erc20:0x514910771af9ca656af840dff83e8264ecf986ca,18
loop,loop,Loopring,,slip44:9003,/slip44:9003,
ltc,ltc,Litecoin,bip122:12a765e31ffd4059bada1e25190f6e98,slip44:2,bip122:12a765e31ffd4059bada1e25190f6e98/slip44:2,8
eth,matic,Matic Token,eip155:1,erc20:0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,eip155:1/erc20:0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18
mina,mina,Mina,mina:mainnet,slip44:12586,mina:mainnet/slip44:12586,
nmc,nmc,Namecoin,,slip44:7,/slip44:7,8
part,part,Particl,,slip44:44,/slip44:44,
eth,pepe,Pepe,eip155:1,erc20:0x6982508145454ce325ddbe47a25d4ec3d2311933,eip155:1/erc20:0x6982508145454ce325ddbe47a25d4ec3d2311933,18
pivx,pivx,Pivx,,slip44:119,/slip44:119,
eth,pyusd,PayPal USD,eip155:1,erc20:0x6c3ea9036406852006290770bedfcaba0e23a0e8,eip155:1/erc20:0x6c3ea9036406852006290770bedfcaba0e23a0e8,6
sol,pyusd,PayPal USD,,token:2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,/token:2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,6
reef,reef,Reef,reef:7834781d38e4798d548e34ec947d19de,slip44:819,reef:7834781d38e4798d548e34ec947d19de/slip44:819,
rune,rune,THORChain (RUNE),,slip44:931,/slip44:931,
rvn,rvn,Ravencoin,,slip44:175,/slip44:175,8
sc,sc,Sia,,slip44:1991,/slip44:1991,
scrt,scrt,Secret Network,,slip44:529,/slip44:529,
poly,shib,SHIBA INU,eip155:137,erc20:0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec,eip155:137/erc20:0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec,18
eth,shib,SHIBA INU,eip155:1,erc20:0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,eip155:1/erc20:0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18
sol,sol,Solana,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,slip44:501,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp/slip44:501,9
poly,sol,Wrapped Solana (Wormhole),eip155:137,erc20:0xd93f7e271cb87c23aaa73edc008a79646d1f9912,eip155:137/erc20:0xd93f7e271cb87c23aaa73edc008a79646d1f9912,
eth,steth,stETH,eip155:1,erc20:0xae7ab96520de3a18e5e111b5eaab095312d7fe84,eip155:1/erc20:0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
ton,ton,TON,,slip44:607,/slip44:607,
trx,trx,Tron,,slip44:195,/slip44:195,6
um,um,Penumbra,,slip44:6532,/slip44:6532,
eth,uni,Uniswap,eip155:1,erc20:0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eip155:1/erc20:0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
algo,usdc,USD Coin,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k,token:31566704,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k/token:31566704,6
arb,usdc,USD Coin,eip155:42161,,eip155:42161/,6
avaxc,usdc,USD Coin,avax:8aDU0Kqh-5d23op-B-r-4YbQFRbsgF9a,,avax:8aDU0Kqh-5d23op-B-r-4YbQFRbsgF9a/,6
base,usdc,USD Coin,eip155:8453,,eip155:8453/,6
celo,usdc,USD Coin,eip155:42220,,eip155:42220/,6
eth,usdc,USD Coin,eip155:1,erc20:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eip155:1/erc20:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
near,usdc,USD Coin,,,,6
op,usdc,USD Coin,eip155:10,,eip155:10/,6
poly,usdc,USD Coin,eip155:137,erc20:0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,eip155:137/erc20:0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,6
sol,usdc,USD Coin,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,token:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp/token:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6
xlm,usdc,USD Coin,stellar:pubnet,,stellar:pubnet/,6
zksync,usdc,USD Coin,eip155:324,,eip155:324/,6
trx,usdc,USD Coin,,trc20:TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8,/trc20:TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8,6
algo,usdt,Tether,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k,token:312769,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k/token:312769,6
celo,usdt,Tether,eip155:42220,,eip155:42220/,6
eth,usdt,Tether,eip155:1,erc20:0xdAC17F958D2ee523a2206206994597C13D831ec7,eip155:1/erc20:0xdAC17F958D2ee523a2206206994597C13D831ec7,6
ton,usdt,Tether,,,,
trx,usdt,Tether,,trc20:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,/trc20:TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,6
poly,usdt,Tether USD,eip155:137,erc20:0xc2132d05d31c914a87c6611c10748aeb04b58e8f,eip155:137/erc20:0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
sol,usdt,Tether,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,token:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp/token:Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6
vet,vet,VeChain Token,vechain:b1ac3413d346d43539627e6be7ec1b4a,slip44:818,vechain:b1ac3413d346d43539627e6be7ec1b4a/slip44:818,18
waves,waves,Waves,waves:087,slip44:5741564,waves:087/slip44:5741564,8
wax,wax,Worldwide Asset Exchange,antelope:1064487b3cd1a897ce03ae5b6a865651,slip44:14001,antelope:1064487b3cd1a897ce03ae5b6a865651/slip44:14001,
poly,wbtc,Wrapped BTC,eip155:137,erc20:0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,eip155:137/erc20:0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
eth,wbtc,wBTC,eip155:1,erc20:0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,eip155:1/erc20:0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
poly,weth,Wrapped Ether,eip155:137,erc20:0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,eip155:137/erc20:0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
eth,weth,Wrapped Ether,eip155:1,erc20:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eip155:1/erc20:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
wow,wow,Wownero,monero:a3fd635dd5cb55700317783469ba749b,slip44:417,monero:a3fd635dd5cb55700317783469ba749b/slip44:417,11
trx,wtrx,Wrapped TRX,,trc20:TNUC9Qb1rRpS5CbWLmNMxXBjyFoydXjWFR,/trc20:TNUC9Qb1rRpS5CbWLmNMxXBjyFoydXjWFR,6
xdai,xdai,xDai,eip155:100,slip44:700,eip155:100/slip44:700,18
xlm,xlm,Stellar Lumens,stellar:pubnet,slip44:148,stellar:pubnet/slip44:148,7
xmr,xmr,Monero,monero:418015bb9ae982a1975da7d79277c270,slip44:128,monero:418015bb9ae982a1975da7d79277c270/slip44:128,12
xno,xno,Nano,,slip44:165,/slip44:165,30
xrp,xrp,XRP,xrpl:0,slip44:144,xrpl:0/slip44:144,6
xvg,xvg,Verge Currency,,slip44:77,/slip44:77,
zec,zec,Zcash,bip122:00040fe8ec8471911baa1db1266ea15d,slip44:133,bip122:00040fe8ec8471911baa1db1266ea15d/slip44:133,8
zen,zen,Zencash,,slip44:121,/slip44:121,
